"team";"cluster";"C1";"C2";"C3";"C4";"C5";"C6";"C7";"C8";"C9";"C10";"C11";"B1";"B2";"B3";"B4";"B5";"B6";"B7";"B8";"B9";"B10";"B11";"X1";"X2";"X3";"X4";"X5";"X6";"X7";"X8";"X9";"X10";"X11";"Y1";"Y2";"Y3";"Y4";"Y5";"Y6";"Y7";"Y8";"Y9";"Y10";"Y11"
"Switzerland";2;3,84204909284952;2,82131661442006;3,45394736842105;4,24385314920849;3,72340425531915;4,03587443946188;2,30052948694541;3,55731225296443;2,49159580779118;2,86298568507157;1,77090653548841;0;0,0111111111111111;0,0111111111111111;0,375925925925926;0,0444444444444444;0,0777777777777778;0;0,0388888888888889;0,0703703703703704;0,0111111111111111;0;10,1623586497073;43,1351747398129;43,1937126309421;37,1942678934837;37,5307186517132;28,8472020444502;51,829225345344;36,9069889052638;60,2360226297849;52,7999999580944;56,5456098514408;46,6890163015228;5,43490281015427;94,6155309428457;58,2058947494376;82,2079689885972;29,5919213072757;44,7273043791814;40,5089464142059;41,1884545194372;75,0000004059536;60,2151344914959
"Faroe Islands";6;1,71184022824536;2,23325062034739;3,23450134770889;2,73348519362187;2,19588706866504;2,00286123032904;2,57247856267864;3,10650887573965;2,48618784530387;3,39805825242718;3,20692288114024;0;0,0222222222222222;0,222222222222222;0;0,0111111111111111;0;0,05;0,133333333333333;0,0222222222222222;0,222222222222222;0,0888888888888889;13,2201199597356;60,5385709017161;51,045291338206;47,6941391566267;32,3111253513218;29,1323431458652;53,3175931844023;49,6755370381597;53,7745329997366;53,3032878984972;58,6339053257149;50,0657918697555;7,32988455483726;92,3420577185566;36,7657798952715;26,5254433179129;70,8335422578599;11,6622151167966;69,1854777191135;47,9613785759503;46,9939691370463;88,8566772399359
"Andorra";6;1,33333333333333;1,15131578947368;1,16731517509728;0,996677740863788;0,797872340425532;0,909090909090909;0,977198697068404;0,906344410876133;0,757575757575758;0,871369294605809;0,906344410876133;0;0,105555555555556;0,166666666666667;0,222222222222222;0,0555555555555556;0,1;0,144444444444444;0,0333333333333333;0,0222222222222222;0,0444444444444444;0,0166666666666667;6,52460027787996;58,009001915746;63,6980370819436;27,8476611171753;47,1485842437732;27,5137708501012;66,8539130791531;51,0451495488633;55,0203968154569;49,3900829494631;67,7580473497964;59,198070233846;2,36490784553692;94,3876297963702;15,8175071100101;49,2311979270664;71,9617540582473;22,6576792380249;49,9504973144751;35,1796418552433;39,1383516529217;90,7750935051711
"Bosnia and Herzegovina";5;4,93235733721688;6,2900668175596;5,10563550950691;6,39254664114568;5,94637188149189;6,57897821766348;4,42723210404529;6,44670191517281;2,22782606437797;3,78208014407924;3,54380537195894;0;0,122222222222222;0;0,266666666666667;0,1;0,244444444444444;0,0111111111111111;0,211111111111111;0;0,0111111111111111;0;8,21291595580543;44,775194574548;53,2000000091974;47,8616970310153;32,6785948945444;33,9038235658568;65,2458693385482;41,3592881917318;64,8457590446545;54,6367941734598;52,9083296341942;47,9773234474263;8,70668337002769;92,199999998745;44,2557000171225;34,4363452827291;75,6231930021063;14,4855222878431;61,4580438979716;69,3996483624627;41,0951340617854;81,8294946596182
"Cyprus";6;2,79745685740236;3,8846380223661;3,54975028812908;2,75919732441472;3,30082520630158;3,39980866877622;2,8436018957346;4,15355569540592;1,94833948339483;2,7027027027027;2,41979835013749;0,0111111111111111;0,188888888888889;0,188888888888889;0;0,111111111111111;0,0833333333333333;0;0,35;0;0,0444444444444444;0;9,48711966051108;42,1073690816487;52,3225570591493;41,5537006597599;33,2647765705407;31,8654460548843;54,6671359321206;44,6290030672302;50,4028824016544;48,8390518930995;52,964644260545;53,3211197436391;10,7106401023573;92,8136841420284;66,4877451659554;26,6734079993179;74,7182932511605;21,4911351927451;50,8078847346949;50,2759660858523;38,245163030406;79,2528183570154
"Austria";6;3,46183109307634;5,29615618634428;4,44993819530284;5,12286866998183;4,71162294464667;3,84615384615385;1,69929351716411;4,88969819994627;2,20007252986362;2,91926099826478;3,69301528610723;0,0111111111111111;0,366666666666667;0,1;0,0222222222222222;0,177777777777778;0,0111111111111111;0;0,355555555555556;0;0;0;11,9863482095273;61,5298147108519;57,0430324924493;53,3423119691956;43,6891478334469;43,0029485424139;61,4937295549277;58,7839144266287;58,0230685123293;71,2117006310516;64,6129304290309;51,3126398909139;12,7114311213926;93,6401985004478;48,3025342933096;26,1498424357679;75,4120267412898;14,0613554735723;63,5909859658677;48,8579223481752;46,5925280861511;83,0596930662095
"Republic of Ireland";6;2,46913580246914;3,67278797996661;3,38709677419355;4,04748346401507;3,31491712707182;3,26848249027237;3,27218641546852;4,02614379084967;2,47561890472618;2,312543798178;2,31637001754826;0;0,155555555555556;0,0888888888888889;0,1;0,1;0,166666666666667;0,0388888888888889;0,2;0,0222222222222222;0,0222222222222222;0;11,7311540557354;53,7745293317008;53,0973238668474;47,5009493937498;34,4454397251254;34,7769876366645;54,3999997854361;53,6783170447992;66,8663780395616;67,1811169664158;57,1999999815393;48,5643430614616;5,19726259680649;95,014035952836;44,0032866876986;26,8289683812949;75,8716881923815;36,0000001069585;59,1856683560262;43,2124021693049;17,3528284910288;81,9999999517632
"Moldova";6;1,62643603975733;4,0573176622122;3,60729386892178;2,91497975708502;3,61186756485596;3,56839422259983;2,64234035860333;3,73831775700935;1,75609756097561;2,7143472641103;2,57195345988977;0;0,0777777777777778;0,211111111111111;0,205555555555556;0,133333333333333;0,05;0;0,2;0;0,0555555555555556;0;10,7754823446866;36,8238625673484;48,6016734032205;53,6856282516075;33,0859699692911;32,6716463549896;45,0678600936504;43,7621426681759;53,4908167636035;49,3515360645022;68,5870980198642;48,8162560910572;9,76551876534813;89,7682877553809;68,9481846170165;31,7599708366311;66,0477411815675;24,4823390191689;45,0627504701206;53,2149650979748;37,3689939017173;87,9255937893611
"Italy";2;3,35317701372859;3,43839541547278;3,06795937104812;3,53457738748628;3,50654300597129;3,76329424597764;2,71549063978605;1,69035728006147;1,32013201320132;1,50523560209424;3,68983957219251;0,0222222222222222;0,238888888888889;0,0666666666666667;0,0777777777777778;0,05;0,283333333333333;0,0666666666666667;0;0;0;0,233333333333333;9,24937007586593;37,7999999841813;48,9031335166273;31,8658329532126;31,8297484820676;29,3066854867811;56,6189100049833;58,7756673133823;63,1000000155327;51,699999790963;43,180146060606;42,6713650541833;8,59999992492178;93,9880501500805;78,2709179734093;45,7177405418203;18,6651142814203;66,407021227492;48,8445322627283;76,899999990876;49,4999997413301;53,8064905694105
"Macedonia";2;2,14541120381406;4,96551724137931;4,7164514317799;4,829436565734;4,54054054054054;3,63684072421937;5,3958304946178;4,29374680524791;2,4406779661017;2,73052335030881;3,16420295645226;0;0,144444444444444;0;0,0777777777777778;0,144444444444444;0;0,333333333333333;0,0444444444444444;0;0,0111111111111111;0,0222222222222222;12,3222356708696;53,5692362604591;52,7465982417883;35,1869134496413;38,4665097290854;38,6439007672255;54,9082002616397;46,5658620839807;54,4616165529782;67,2797372495962;73,8546501389648;42,5524253099282;7,49312365991;92,7706191913121;75,2959198203642;44,0548183936373;16,3788046618324;49,8901432580312;60,3737640211112;48,1598578930276;71,5902929530057;63,5190050572929
"Liechtenstein";6;2,11267605633803;3,20855614973262;2,10052513128282;3,56991075223119;2,70183338694114;2,8028028028028;2,12765957446809;2,61437908496732;2,33009708737864;1,68067226890756;1,33481646273637;0;0,111111111111111;0,0555555555555556;0,461111111111111;0,0166666666666667;0,166666666666667;0;0,0722222222222222;0;0,00555555555555556;0,0111111111111111;9,94036559523907;35,8667078858701;36,2001162026376;32,9641468535428;28,4740106846456;30,8669151551933;35,0000045715626;44,1862038943102;49,2894038301628;57,1824378642011;58,4958615737077;48,4080832080056;7,77517345628624;94,6712947879118;43,814054100905;23,7551791317127;68,4578679400049;42,8000054698259;68,0263433498242;57,8065859260918;20,2324167726369;85,4450983063078
"Iceland";5;2,96532810755848;4,45792509436525;5,5553200328978;5,21451108893942;4,80103312625487;5,34100129850132;3,20766078693436;4,45635465835975;2,34204092137434;1,95401853215989;3,86118133762353;0;0,155555555555556;0,422222222222222;0,144444444444444;0,0333333333333333;0,277777777777778;0;0,133333333333333;0;0;0,0555555555555556;12,0755357168561;48,546900746315;51,1260123978765;45,5332159854777;38,7923458580407;41,2050420396451;56,8519012866397;55,1373876766676;62,4789298329635;66,2545732443642;63,9364936877123;51,2361126435611;12,8127877658464;93,7678252897399;49,215475159823;36,9139877815171;74,5019093859962;82,6758451442708;64,587921256913;52,5650431168022;57,3548969787189;15,3379331351338
"Turkey";6;1,62790697674419;2,80433397068196;3,38374775698539;3,29282634261074;3,65940594059406;2,55913144629701;1,68324407039021;3,1015037593985;1,31558339859045;2,50814332247557;2,7972027972028;0,0111111111111111;0,1;0,138888888888889;0,188888888888889;0,277777777777778;0,0111111111111111;0,05;0,0666666666666667;0;0,0111111111111111;0,183333333333333;8,68126863633434;49,6496825989941;51,0157480649861;37,9745408887679;34,4872254265316;37,7734156883725;55,4133425064958;50,5887030776554;64,0465903919406;60,8967232168174;65,8704300744226;43,5159926770394;8,78637911264724;93,5906102730614;64,7306313450067;32,0513806236828;70,5425943624353;14,0993550148913;43,1314764927697;47,4172356240195;74,2895806330255;72,8229939062289
"Netherlands";5;3,15888436226888;7,31823221923016;7,6339613408368;6,51525396762261;6,57448473780329;8,42470028225168;8,62320843368737;3,9322538440302;3,32079755907188;5,68172501434779;6,83418343398942;0;0,144444444444444;0,311111111111111;0,0222222222222222;0,0666666666666667;0,0777777777777778;0,277777777777778;0;0;0,0222222222222222;0,0333333333333333;11,9740014178388;53,4618774750683;59,0874928957146;57,7589075112528;39,0705187129577;37,5211586349268;50,805493102091;62,3539290676667;72,1999999767009;67,5211678247542;57,7356483081752;46,8965730759551;11,6796292013608;90,8413876179201;41,5224253723473;29,0767293714259;69,2516370105738;52,3604543139042;80,151055114514;68,2999999744204;18,44150663992;56,4240261192976
"France";5;3,62799101169559;8,82771622650162;7,90843327677154;8,00345535732923;8,88730047639119;8,05332307566189;6,02430358045237;7,97384973503046;2,98181112053353;4,71253181429568;6,07442520284414;0;0,344444444444444;0,0333333333333333;0,177777777777778;0,2;0,144444444444444;0;0,177777777777778;0;0;0,0111111111111111;11,5153489536764;52,1280629132999;55,1358981758482;47,9008588236078;42,267435076179;36,7648824065303;61,5782331740595;52,6615116624904;61,997170915766;61,8970977892735;64,3202559971188;52,2945145619514;6,36736143954948;95,080217834099;64,303552663991;26,7500654672407;60,6800783901694;12,5497810249654;37,9613093404532;46,6630605939521;43,9782449751036;75,2070786819101
"Luxembourg";4;2,42914979757085;2,57668711656442;2,62008733624454;2,63653483992467;2,33463035019455;1,96353436185133;2,5531914893617;2,31660231660232;1,69423154497781;1,7910447761194;1,40515222482436;0,111111111111111;0,175925925925926;0,190740740740741;0,12037037037037;0,0333333333333333;0;0,111111111111111;0;0;0,0166666666666667;0;6,2242043065627;44,0999999403479;38,3055787646452;33,4013722358342;27,8309448522049;23,8577192270506;51,7780898553353;47,0182370438961;49,7936280349618;66,5993003404708;50,4848168514949;56,0253401311774;10,2999999971014;94,2413998641151;58,0803938285602;37,862269487368;81,4512262387272;49,613809481182;46,1638409996146;53,6570467569455;78,2999187757708;76,3397700544156
"Portugal";6;2,60981788633431;4,96307237813885;4,37509560960685;4,91753951082518;5,36730821360802;4,67115513741513;4,22960725075529;5,03117257902045;3,18711146134314;2,05059920106525;4,02298850574713;0;0,233333333333333;0,0666666666666667;0,0444444444444444;0,166666666666667;0,0555555555555556;0;0,177777777777778;0,0222222222222222;0;0,0777777777777778;12,999216508149;64,8772891474415;65,7122196704447;56,4091436888381;54,59947934237;46,1217187222378;72,8369173852621;62,5882089951204;68,469628023627;70,6784878785403;75,440748706037;52,9553913437174;8,44359348796164;90,8681128200435;43,0734945940852;29,7924147822879;69,8788358019339;19,8220404247933;57,3274393317419;47,6737264237841;45,7742446136268;42,9082462275822
